"experiment","site","year","plot","treatment name","information","value","date","time","co2_ppm","n2o_ppm","ch4_ppm","nh3_ppm","temp_celsius","...12"
"FERT","rosemount","2022","2204","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2308","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2409","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2106","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2208","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2310","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2405","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2105","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2205","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2311","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2406","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2103","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2203","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2306","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2411","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2110","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2211","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2303","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2401","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2101","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2204","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2308","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2409","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2106","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2208","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2310","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2405","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2105","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2205","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2311","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2023","2406","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2103","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2203","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2306","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2411","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2110","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2211","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2303","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2401","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2101","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2204","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2308","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2409","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2106","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2208","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2310","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2405","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2105","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2205","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2311","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2024","2406","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2103","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2203","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2306","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2411","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2110","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2211","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2303","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2401","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2101","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2204","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2308","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2409","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2106","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2208","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2310","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2405","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2105","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2205","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2311","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2025","2406","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:18:23,435.1,0.408,1.94,0.01,24,0.816
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:18:44,437.1,0.422,1.9,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:19:05,435.9,0.388,1.88,0.04,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:19:26,436.1,0.404,1.89,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:19:47,436.1,0.414,1.93,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:20:08,436,0.41,1.9,0.02,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:20:29,436.2,0.409,1.88,0.02,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:20:50,435.9,0.39,1.9,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:21:11,437.9,0.407,1.87,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:21:32,436.8,0.398,1.92,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:21:53,439.8,0.413,1.99,0.02,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:22:14,437.4,0.398,1.94,0.02,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:22:35,437.5,0.39,1.85,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:22:56,439.1,0.408,1.89,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:23:18,440.2,0.408,1.87,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:23:39,438.3,0.412,1.88,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-02,1899-12-31 14:24:00,439.3,0.407,1.84,0,24,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:05:13,447.4,0.368,1.92,0.06,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:05:34,439.7,0.344,1.96,0.05,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:05:55,433.7,0.351,1.9,0,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:06:16,434.1,0.339,1.98,0.07,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:06:37,434.6,0.353,1.98,0.02,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:06:58,438.4,0.37,2.05,0.03,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:07:19,438.8,0.371,1.89,0,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:07:40,438.1,0.35,1.9,0.05,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:08:01,441.6,0.386,1.96,0.04,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:08:22,439.7,0.339,1.95,0,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:08:43,439.8,0.372,1.99,0.11,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:09:04,440.1,0.36,1.89,0.11,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-05,1899-12-31 15:09:25,442.8,0.368,1.83,0.1,31,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:11:10,176.2,0.122,0.68,0.32,27,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:11:31,346.3,0.249,1.44,0,27,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:11:52,421.3,0.272,1.88,0,27,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:12:13,465.3,0.311,1.96,0,28,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:12:34,488.1,0.308,2.1,0,28,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:12:55,504,0.307,2.1,0,28,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:13:16,516.7,0.311,2.08,0.08,28,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:13:38,531.9,0.313,2,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:13:59,544.1,0.314,2.08,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:14:20,557.4,0.334,2.06,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:14:41,565.5,0.325,2.03,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:15:02,573.7,0.312,2.15,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:15:23,582.3,0.324,2.14,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:15:44,590.5,0.318,2.09,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:16:05,597.3,0.304,2.02,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:16:26,607.8,0.314,2.13,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:16:47,615.6,0.327,2.09,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:17:08,627,0.327,2.18,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:17:29,635.4,0.306,2.03,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:17:50,642.9,0.318,2.1,0.08,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:18:11,654.1,0.347,2.07,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:18:32,661.1,0.362,2.06,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:18:53,670.1,0.323,2.11,0,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:19:14,678.8,0.353,2.08,0.08,29,NA
"orei_manure","rosemount","2020","101","fertCommercial_cutNone","N fertilizer rate","70 kg N ha",2020-11-19,1899-12-31 14:19:35,687.1,0.37,2.12,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:26:03,439.1,0.41,1.9,0.04,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:26:24,437.2,0.422,1.93,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:26:45,434.3,0.423,1.98,0.05,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:27:06,437.7,0.388,1.9,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:27:27,437.9,0.42,1.87,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:27:48,437.1,0.415,1.89,0.01,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:28:09,434.6,0.405,1.93,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:28:30,435.5,0.416,1.81,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:28:51,437.6,0.435,1.83,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:29:12,433.6,0.403,1.88,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:29:33,437.8,0.408,1.85,0.01,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:29:54,437.3,0.411,1.83,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:30:15,437.7,0.422,1.93,0.02,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:30:36,439.3,0.427,1.88,0.05,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:30:57,436.9,0.4,1.99,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:31:18,437.6,0.412,1.77,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:31:39,438,0.412,2.01,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-02,1899-12-31 14:32:00,438.2,0.415,1.78,0,24,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:11:05,441.7,0.347,2,0.01,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:11:26,437.6,0.365,1.95,0.05,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:11:47,431.2,0.332,1.87,0,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:12:08,432.7,0.361,1.9,0,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:12:29,433.6,0.363,1.98,0.07,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:12:50,434.9,0.356,2.01,0.05,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:13:11,435.9,0.354,1.86,0.1,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:13:54,432.2,0.217,1.04,2.97,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:14:15,437.9,0.325,2.2,0.88,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:14:36,432,0.284,1.56,0.13,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:14:57,435.2,0.377,2.23,0.02,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:15:18,442.4,0.408,1.78,0.02,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:15:39,435.3,0.265,2.09,0.13,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-05,1899-12-31 15:16:01,442.9,0.403,1.79,0,31,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:21:33,686.2,0.387,2.21,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:21:54,581,0.331,2.4,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:22:15,515.6,0.331,2.4,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:22:36,487.2,0.334,2.61,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:22:57,477.7,0.323,2.62,0.03,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:23:18,475.6,0.321,2.59,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:23:39,477.6,0.328,2.56,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:24:00,480.1,0.337,2.45,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:24:21,484.4,0.323,2.65,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:24:42,489.4,0.329,2.72,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:25:03,493,0.334,2.62,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:25:24,497.6,0.337,2.45,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:25:45,502.3,0.327,2.65,0.01,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:26:06,507.5,0.324,2.52,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:26:27,517.2,0.37,2.6,0,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:26:48,520.3,0.376,2.56,0.05,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:27:09,523.8,0.356,2.56,0.02,29,NA
"orei_manure","rosemount","2020","102","fertControl_cutNone","N fertilizer rate",NA,2020-11-19,1899-12-31 14:27:31,531.1,0.379,2.54,0,28,NA
