experiment,site,timing,date,sample_type,plots,block,treatment,area_m2,weight_wet_withbag_g,bagtare_wet_g,weight_wet_nobag_g,forage_weight_dry_withbag_g,bagtare_dry_g,forage_weight_dry_nobag_g,forage_drymatteryield_kgha,combine_weight_byhand_dry_nopenalty_kg,combine_weight_byhand_dry_withpenalty_kg,grain_kgha_byhand,grain_moisturepercent_byhand_grainsensor,grain_testweight_lbbu_byhand_grainsensor,grain_testweight_lbbu_harvestMaster,grain_kgha_harvestMaster,grain_moisturepercent_harvestMaster,grain_testweight_kghL_harvestMaster,lodging_score_atharvest,protein_estimated_NIRS,ndvi,lodging_score_drone
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,210,2,50N-20S,0.2032,,30.7,,53.88,30.3,23.58,1160.433071,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,211,2,150N-20S,0.2032,,30.7,,54.01,30.3,23.71,1166.830709,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,212,2,0N-10S,0.2032,,30.7,,60.46,30.3,30.16,1484.251969,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,213,2,50N-10S,0.2032,,30.7,,56.5,30.3,26.2,1289.370079,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,214,2,50N-0S,0.2032,,30.7,,57.33,30.3,27.03,1330.216535,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,215,2,0N-0S,0.2032,,30.7,,58.26,30.3,27.96,1375.984252,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,216,2,100N-20S,0.2032,,30.7,,58.47,30.3,28.17,1386.318898,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,301,3,75N-0S,0.2032,,30.7,,54.06,30.3,23.76,1169.291339,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,302,3,50N-20S,0.2032,,30.7,,57.49,30.3,27.19,1338.090551,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,303,3,100N-0S,0.2032,,30.7,,48.21,30.3,17.91,881.3976378,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,304,3,100N-20S,0.2032,,30.7,,51.31,30.3,21.01,1033.956693,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,305,3,0N-0S,0.2032,,30.7,,45.05,30.3,14.75,725.8858268,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,306,3,100N-10S,0.2032,,30.7,,51.92,30.3,21.62,1063.976378,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,307,3,50N-10S,0.2032,,30.7,,49.24,30.3,18.94,932.0866142,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,308,3,150N-20S,0.2032,,30.7,,51.22,30.3,20.92,1029.527559,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,309,3,150N-0S,0.2032,,30.7,,45.34,30.3,15.04,740.1574803,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,310,3,75N-10S,0.2032,,30.7,,70.31,30.3,40.01,1968.996063,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,311,3,50N-0S,0.2032,,30.7,,54.37,30.3,24.07,1184.547244,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,312,3,0N-20S,0.2032,,30.7,,53.81,30.3,23.51,1156.988189,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,313,3,150N-10S,0.2032,,30.7,,61.34,30.3,31.04,1527.559055,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,314,3,75N-20S,0.2032,,30.7,,62.25,30.3,31.95,1572.34252,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,315,3,100N-20S-PD,0.2032,,30.7,,59.59,30.3,29.29,1441.437008,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,316,3,0N-10S,0.2032,,30.7,,60.05,30.3,29.75,1464.074803,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,401,4,50N-10S,0.2032,,30.7,,53.3,30.3,23,1131.889764,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,402,4,100N-20S,0.2032,,30.7,,52.15,30.3,21.85,1075.295276,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,403,4,100N-0S,0.2032,,30.7,,55.71,30.3,25.41,1250.492126,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,404,4,100N-10S,0.2032,,30.7,,47.46,30.3,17.16,844.488189,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,405,4,75N-10S,0.2032,,30.7,,52.17,30.3,21.87,1076.279528,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,406,4,150N-0S,0.2032,,30.7,,38.06,30.3,7.76,381.8897638,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,407,4,100N-20S-PD,0.2032,,30.7,,39.42,30.3,9.12,448.8188976,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,408,4,150N-20S,0.2032,,30.7,,41.34,30.3,11.04,543.3070866,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,409,4,75N-20S,0.2032,,30.7,,44.66,30.3,14.36,706.6929134,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,410,4,50N-20S,0.2032,,30.7,,54.5,30.3,24.2,1190.944882,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,411,4,0N-10S,0.2032,,30.7,,62.31,30.3,32.01,1575.295276,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,412,4,150N-10S,0.2032,,30.7,,60.15,30.3,29.85,1468.996063,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,413,4,0N-0S,0.2032,,30.7,,55.36,30.3,25.06,1233.267717,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,414,4,75N-0S,0.2032,,30.7,,64.2,30.3,33.9,1668.307087,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,415,4,50N-0S,0.2032,,30.7,,55.67,30.3,25.37,1248.523622,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,416,4,0N-20S,0.2032,,30.7,,50.83,30.3,20.53,1010.334646,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,ndvi,101,1,0N-0S,14,,,,,,,,,,,,,,,,,,,6877,
NxS,MN,feekes 3,2025-05-23,ndvi,102,1,0N-10S,14,,,,,,,,,,,,,,,,,,,7049,
NxS,MN,feekes 3,2025-05-23,ndvi,103,1,0N-20S,14,,,,,,,,,,,,,,,,,,,7063,
NxS,MN,feekes 3,2025-05-23,ndvi,104,1,50N-0S,14,,,,,,,,,,,,,,,,,,,7021,
NxS,MN,feekes 3,2025-05-23,ndvi,105,1,50N-10S,14,,,,,,,,,,,,,,,,,,,7015,
NxS,MN,feekes 3,2025-05-23,ndvi,106,1,50N-20S,14,,,,,,,,,,,,,,,,,,,6939,
NxS,MN,feekes 3,2025-05-23,ndvi,107,1,75N-0S,14,,,,,,,,,,,,,,,,,,,7101,
NxS,MN,feekes 3,2025-05-23,ndvi,108,1,75N-10S,14,,,,,,,,,,,,,,,,,,,7198,
NxS,MN,feekes 3,2025-05-23,ndvi,109,1,75N-20S,14,,,,,,,,,,,,,,,,,,,7726,
NxS,MN,feekes 3,2025-05-23,ndvi,110,1,100N-0S,14,,,,,,,,,,,,,,,,,,,7638,
NxS,MN,feekes 3,2025-05-23,ndvi,111,1,100N-10S,14,,,,,,,,,,,,,,,,,,,7842,
NxS,MN,feekes 3,2025-05-23,ndvi,112,1,100N-20S,14,,,,,,,,,,,,,,,,,,,7741,
NxS,MN,feekes 3,2025-05-23,ndvi,113,1,150N-0S,14,,,,,,,,,,,,,,,,,,,7994,
NxS,MN,feekes 3,2025-05-23,ndvi,114,1,150N-10S,14,,,,,,,,,,,,,,,,,,,7772,
NxS,MN,feekes 3,2025-05-23,ndvi,115,1,150N-20S,14,,,,,,,,,,,,,,,,,,,8052,
NxS,MN,feekes 3,2025-05-23,ndvi,116,1,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,7968,
NxS,MN,feekes 3,2025-05-23,ndvi,201,2,75N-20S,14,,,,,,,,,,,,,,,,,,,6955,
NxS,MN,feekes 3,2025-05-23,ndvi,202,2,150N-0S,14,,,,,,,,,,,,,,,,,,,6873,
NxS,MN,feekes 3,2025-05-23,ndvi,203,2,100N-10S,14,,,,,,,,,,,,,,,,,,,7001,
NxS,MN,feekes 3,2025-05-23,ndvi,204,2,0N-20S,14,,,,,,,,,,,,,,,,,,,7194,
NxS,MN,feekes 3,2025-05-23,ndvi,205,2,150N-10S,14,,,,,,,,,,,,,,,,,,,6696,
NxS,MN,feekes 3,2025-05-23,ndvi,206,2,75N-0S,14,,,,,,,,,,,,,,,,,,,7388,
NxS,MN,feekes 3,2025-05-23,ndvi,207,2,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,7324,
NxS,MN,feekes 3,2025-05-23,ndvi,208,2,75N-10S,14,,,,,,,,,,,,,,,,,,,7641,
NxS,MN,feekes 3,2025-05-23,ndvi,209,2,100N-0S,14,,,,,,,,,,,,,,,,,,,7703,
NxS,MN,feekes 3,2025-05-23,ndvi,210,2,50N-20S,14,,,,,,,,,,,,,,,,,,,7608,
NxS,MN,feekes 3,2025-05-23,ndvi,211,2,150N-20S,14,,,,,,,,,,,,,,,,,,,7819,
NxS,MN,feekes 3,2025-05-23,ndvi,212,2,0N-10S,14,,,,,,,,,,,,,,,,,,,7904,
NxS,MN,feekes 3,2025-05-23,ndvi,213,2,50N-10S,14,,,,,,,,,,,,,,,,,,,7774,
NxS,MN,feekes 3,2025-05-23,ndvi,214,2,50N-0S,14,,,,,,,,,,,,,,,,,,,7922,
NxS,MN,feekes 3,2025-05-23,ndvi,215,2,0N-0S,14,,,,,,,,,,,,,,,,,,,7851,
NxS,MN,feekes 3,2025-05-23,ndvi,216,2,100N-20S,14,,,,,,,,,,,,,,,,,,,8116,
NxS,MN,feekes 3,2025-05-23,ndvi,301,3,75N-0S,14,,,,,,,,,,,,,,,,,,,6871,
NxS,MN,feekes 3,2025-05-23,ndvi,302,3,50N-20S,14,,,,,,,,,,,,,,,,,,,7058,
NxS,MN,feekes 3,2025-05-23,ndvi,303,3,100N-0S,14,,,,,,,,,,,,,,,,,,,7303,
NxS,MN,feekes 3,2025-05-23,ndvi,304,3,100N-20S,14,,,,,,,,,,,,,,,,,,,6990,
NxS,MN,feekes 3,2025-05-23,ndvi,305,3,0N-0S,14,,,,,,,,,,,,,,,,,,,7083,
NxS,MN,feekes 3,2025-05-23,ndvi,306,3,100N-10S,14,,,,,,,,,,,,,,,,,,,7356,
NxS,MN,feekes 3,2025-05-23,ndvi,307,3,50N-10S,14,,,,,,,,,,,,,,,,,,,7499,
NxS,MN,feekes 3,2025-05-23,ndvi,308,3,150N-20S,14,,,,,,,,,,,,,,,,,,,7571,
NxS,MN,feekes 3,2025-05-23,ndvi,309,3,150N-0S,14,,,,,,,,,,,,,,,,,,,7704,
NxS,MN,feekes 3,2025-05-23,ndvi,310,3,75N-10S,14,,,,,,,,,,,,,,,,,,,7614,
NxS,MN,feekes 3,2025-05-23,ndvi,311,3,50N-0S,14,,,,,,,,,,,,,,,,,,,7794,
NxS,MN,feekes 3,2025-05-23,ndvi,312,3,0N-20S,14,,,,,,,,,,,,,,,,,,,7923,
NxS,MN,feekes 3,2025-05-23,ndvi,313,3,150N-10S,14,,,,,,,,,,,,,,,,,,,7929,
NxS,MN,feekes 3,2025-05-23,ndvi,314,3,75N-20S,14,,,,,,,,,,,,,,,,,,,7893,
NxS,MN,feekes 3,2025-05-23,ndvi,315,3,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,8073,
NxS,MN,feekes 3,2025-05-23,ndvi,316,3,0N-10S,14,,,,,,,,,,,,,,,,,,,7800,
NxS,MN,feekes 3,2025-05-23,ndvi,401,4,50N-10S,14,,,,,,,,,,,,,,,,,,,6846,
NxS,MN,feekes 3,2025-05-23,ndvi,402,4,100N-20S,14,,,,,,,,,,,,,,,,,,,7037,
NxS,MN,feekes 3,2025-05-23,ndvi,403,4,100N-0S,14,,,,,,,,,,,,,,,,,,,6935,
NxS,MN,feekes 3,2025-05-23,ndvi,404,4,100N-10S,14,,,,,,,,,,,,,,,,,,,6893,
NxS,MN,feekes 3,2025-05-23,ndvi,405,4,75N-10S,14,,,,,,,,,,,,,,,,,,,7381,
NxS,MN,feekes 3,2025-05-23,ndvi,406,4,150N-0S,14,,,,,,,,,,,,,,,,,,,7480,
NxS,MN,feekes 3,2025-05-23,ndvi,407,4,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,7427,
NxS,MN,feekes 3,2025-05-23,ndvi,408,4,150N-20S,14,,,,,,,,,,,,,,,,,,,7521,
NxS,MN,feekes 3,2025-05-23,ndvi,409,4,75N-20S,14,,,,,,,,,,,,,,,,,,,7824,
NxS,MN,feekes 3,2025-05-23,ndvi,410,4,50N-20S,14,,,,,,,,,,,,,,,,,,,7931,
NxS,MN,feekes 3,2025-05-23,ndvi,411,4,0N-10S,14,,,,,,,,,,,,,,,,,,,7775,
NxS,MN,feekes 3,2025-05-23,ndvi,412,4,150N-10S,14,,,,,,,,,,,,,,,,,,,8125,
NxS,MN,feekes 3,2025-05-23,ndvi,413,4,0N-0S,14,,,,,,,,,,,,,,,,,,,7811,
NxS,MN,feekes 3,2025-05-23,ndvi,414,4,75N-0S,14,,,,,,,,,,,,,,,,,,,8025,
NxS,MN,feekes 3,2025-05-23,ndvi,415,4,50N-0S,14,,,,,,,,,,,,,,,,,,,7886,
NxS,MN,feekes 3,2025-05-23,ndvi,416,4,0N-20S,14,,,,,,,,,,,,,,,,,,,7527,
NxS,MN,feekes 6,2025-06-06,ndvi,101,1,0N-0S,14,,,,,,,,,,,,,,,,,,,8651,
NxS,MN,feekes 6,2025-06-06,ndvi,102,1,0N-10S,14,,,,,,,,,,,,,,,,,,,8739,
NxS,MN,feekes 6,2025-06-06,ndvi,103,1,0N-20S,14,,,,,,,,,,,,,,,,,,,8622,
NxS,MN,feekes 6,2025-06-06,ndvi,104,1,50N-0S,14,,,,,,,,,,,,,,,,,,,8009,
NxS,MN,feekes 6,2025-06-06,ndvi,105,1,50N-10S,14,,,,,,,,,,,,,,,,,,,8704,
NxS,MN,feekes 6,2025-06-06,ndvi,106,1,50N-20S,14,,,,,,,,,,,,,,,,,,,8639,
NxS,MN,feekes 6,2025-06-06,ndvi,107,1,75N-0S,14,,,,,,,,,,,,,,,,,,,8688,
NxS,MN,feekes 6,2025-06-06,ndvi,108,1,75N-10S,14,,,,,,,,,,,,,,,,,,,8749,
NxS,MN,feekes 6,2025-06-06,ndvi,109,1,75N-20S,14,,,,,,,,,,,,,,,,,,,8822,
NxS,MN,feekes 6,2025-06-06,ndvi,110,1,100N-0S,14,,,,,,,,,,,,,,,,,,,8821,
NxS,MN,feekes 6,2025-06-06,ndvi,111,1,100N-10S,14,,,,,,,,,,,,,,,,,,,8892,
NxS,MN,feekes 6,2025-06-06,ndvi,112,1,100N-20S,14,,,,,,,,,,,,,,,,,,,8753,
NxS,MN,feekes 6,2025-06-06,ndvi,113,1,150N-0S,14,,,,,,,,,,,,,,,,,,,8920,
NxS,MN,feekes 6,2025-06-06,ndvi,114,1,150N-10S,14,,,,,,,,,,,,,,,,,,,8490,
NxS,MN,feekes 6,2025-06-06,ndvi,115,1,150N-20S,14,,,,,,,,,,,,,,,,,,,8916,
NxS,MN,feekes 6,2025-06-06,ndvi,116,1,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,8722,
NxS,MN,feekes 6,2025-06-06,ndvi,201,2,75N-20S,14,,,,,,,,,,,,,,,,,,,8659,
NxS,MN,feekes 6,2025-06-06,ndvi,202,2,150N-0S,14,,,,,,,,,,,,,,,,,,,8664,
NxS,MN,feekes 6,2025-06-06,ndvi,203,2,100N-10S,14,,,,,,,,,,,,,,,,,,,8753,
NxS,MN,feekes 6,2025-06-06,ndvi,204,2,0N-20S,14,,,,,,,,,,,,,,,,,,,8590,
NxS,MN,feekes 6,2025-06-06,ndvi,205,2,150N-10S,14,,,,,,,,,,,,,,,,,,,8689,
NxS,MN,feekes 6,2025-06-06,ndvi,206,2,75N-0S,14,,,,,,,,,,,,,,,,,,,8709,
NxS,MN,feekes 6,2025-06-06,ndvi,207,2,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,8725,
NxS,MN,feekes 6,2025-06-06,ndvi,208,2,75N-10S,14,,,,,,,,,,,,,,,,,,,8758,
NxS,MN,feekes 6,2025-06-06,ndvi,209,2,100N-0S,14,,,,,,,,,,,,,,,,,,,8838,
NxS,MN,feekes 6,2025-06-06,ndvi,210,2,50N-20S,14,,,,,,,,,,,,,,,,,,,8766,
NxS,MN,feekes 6,2025-06-06,ndvi,211,2,150N-20S,14,,,,,,,,,,,,,,,,,,,8825,
NxS,MN,feekes 6,2025-06-06,ndvi,212,2,0N-10S,14,,,,,,,,,,,,,,,,,,,8679,
NxS,MN,feekes 6,2025-06-06,ndvi,213,2,50N-10S,14,,,,,,,,,,,,,,,,,,,8855,
NxS,MN,feekes 6,2025-06-06,ndvi,214,2,50N-0S,14,,,,,,,,,,,,,,,,,,,8790,
NxS,MN,feekes 6,2025-06-06,ndvi,215,2,0N-0S,14,,,,,,,,,,,,,,,,,,,8641,
NxS,MN,feekes 6,2025-06-06,ndvi,216,2,100N-20S,14,,,,,,,,,,,,,,,,,,,8764,
NxS,MN,feekes 6,2025-06-06,ndvi,301,3,75N-0S,14,,,,,,,,,,,,,,,,,,,8538,
NxS,MN,feekes 6,2025-06-06,ndvi,302,3,50N-20S,14,,,,,,,,,,,,,,,,,,,8757,
NxS,MN,feekes 6,2025-06-06,ndvi,303,3,100N-0S,14,,,,,,,,,,,,,,,,,,,8702,
NxS,MN,feekes 6,2025-06-06,ndvi,304,3,100N-20S,14,,,,,,,,,,,,,,,,,,,8729,
NxS,MN,feekes 6,2025-06-06,ndvi,305,3,0N-0S,14,,,,,,,,,,,,,,,,,,,8662,
NxS,MN,feekes 6,2025-06-06,ndvi,306,3,100N-10S,14,,,,,,,,,,,,,,,,,,,8835,
NxS,MN,feekes 6,2025-06-06,ndvi,307,3,50N-10S,14,,,,,,,,,,,,,,,,,,,8444,
NxS,MN,feekes 6,2025-06-06,ndvi,308,3,150N-20S,14,,,,,,,,,,,,,,,,,,,8835,
NxS,MN,feekes 6,2025-06-06,ndvi,309,3,150N-0S,14,,,,,,,,,,,,,,,,,,,8952,
NxS,MN,feekes 6,2025-06-06,ndvi,310,3,75N-10S,14,,,,,,,,,,,,,,,,,,,8842,
NxS,MN,feekes 6,2025-06-06,ndvi,311,3,50N-0S,14,,,,,,,,,,,,,,,,,,,8827,
NxS,MN,feekes 6,2025-06-06,ndvi,312,3,0N-20S,14,,,,,,,,,,,,,,,,,,,8814,
NxS,MN,feekes 6,2025-06-06,ndvi,313,3,150N-10S,14,,,,,,,,,,,,,,,,,,,8912,
NxS,MN,feekes 6,2025-06-06,ndvi,314,3,75N-20S,14,,,,,,,,,,,,,,,,,,,8838,
NxS,MN,feekes 6,2025-06-06,ndvi,315,3,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,8711,
NxS,MN,feekes 6,2025-06-06,ndvi,316,3,0N-10S,14,,,,,,,,,,,,,,,,,,,8549,
NxS,MN,feekes 6,2025-06-06,ndvi,401,4,50N-10S,14,,,,,,,,,,,,,,,,,,,8574,
NxS,MN,feekes 6,2025-06-06,ndvi,402,4,100N-20S,14,,,,,,,,,,,,,,,,,,,8722,
NxS,MN,feekes 6,2025-06-06,ndvi,403,4,100N-0S,14,,,,,,,,,,,,,,,,,,,8752,
NxS,MN,feekes 6,2025-06-06,ndvi,404,4,100N-10S,14,,,,,,,,,,,,,,,,,,,8736,
NxS,MN,feekes 6,2025-06-06,ndvi,405,4,75N-10S,14,,,,,,,,,,,,,,,,,,,8353,
NxS,MN,feekes 6,2025-06-06,ndvi,406,4,150N-0S,14,,,,,,,,,,,,,,,,,,,8869,
NxS,MN,feekes 6,2025-06-06,ndvi,407,4,100N-20S-PD,14,,,,,,,,,,,,,,,,,,,8735,
NxS,MN,feekes 6,2025-06-06,ndvi,408,4,150N-20S,14,,,,,,,,,,,,,,,,,,,8892,
NxS,MN,feekes 6,2025-06-06,ndvi,409,4,75N-20S,14,,,,,,,,,,,,,,,,,,,8808,
NxS,MN,feekes 6,2025-06-06,ndvi,410,4,50N-20S,14,,,,,,,,,,,,,,,,,,,8817,
NxS,MN,feekes 6,2025-06-06,ndvi,411,4,0N-10S,14,,,,,,,,,,,,,,,,,,,8640,
NxS,MN,feekes 6,2025-06-06,ndvi,412,4,150N-10S,14,,,,,,,,,,,,,,,,,,,8904,
NxS,MN,feekes 6,2025-06-06,ndvi,413,4,0N-0S,14,,,,,,,,,,,,,,,,,,,8484,
NxS,MN,feekes 6,2025-06-06,ndvi,414,4,75N-0S,14,,,,,,,,,,,,,,,,,,,8775,
NxS,MN,feekes 6,2025-06-06,ndvi,415,4,50N-0S,14,,,,,,,,,,,,,,,,,,,8596,
