site,plot,date,slope_CO2_ugcm3,slope_N2O_ugcm3,slope_CH4_ugcm3,co2.e,co2.e.area,co2.e.gmd,co2.e.gmhr,n2o.e,n2o.e.area,n2o.e.gmhr,ch4.e,ch4.e.area,ch4.e.gmhr
r100,1103,2022-09-15,2.75E-04,0,0,0.001006939827,0.008980206288,7.758898233,0.3232874264,0,0,0,0,0,0
r100,1103,2022-09-27,6.41E-05,2.22E-07,0,2.35E-04,0.002096496604,1.811373066,0.07547387773,6.97E-07,6.21E-06,2.24E-04,0,0,0
r100,1103,2022-10-11,1.07E-04,0,0,3.91E-04,0.003482651541,3.009010932,0.1253754555,0,0,0,0,0,0
r100,1103,2022-10-27,2.82E-05,0,0,1.03E-04,9.22E-04,0.796844639,0.03320185996,0,0,0,0,0,0
r100,1103,2023-05-16,2.72E-05,0,0,9.96E-05,8.88E-04,0.7676032393,0.0319834683,0,0,0,0,0,0
r100,1103,2023-05-31,5.09E-05,0,0,1.87E-04,0.001663985644,1.437683597,0.05990348319,0,0,0,0,0,0
r100,1103,2023-06-27,1.05E-04,-5.33E-07,0,3.84E-04,0.003422473763,2.957017332,0.1232090555,-1.68E-06,-1.49E-05,-5.38E-04,0,0,0
r100,1103,2023-07-10,5.68E-05,0,1.78E-07,2.08E-04,0.001856512681,1.604026956,0.06683445651,0,0,0,2.38E-07,2.12E-06,7.64E-05
r100,1103,2023-07-24,6.82E-05,2.98E-07,0,2.50E-04,0.002228550977,1.925468044,0.08022783517,9.36E-07,8.35E-06,3.01E-04,0,0,0
r100,1103,2023-08-07,3.69E-05,-6.59E-08,2.19E-07,1.35E-04,0.001207442954,1.043230712,0.04346794635,-2.07E-07,-1.85E-06,-6.65E-05,2.92E-07,2.61E-06,9.38E-05
r100,1103,2023-08-21,3.18E-05,0,0,1.17E-04,0.001039381254,0.8980254038,0.03741772516,0,0,0,0,0,0
r100,1104,2023-05-16,1.16E-04,2.85E-07,0,4.26E-04,0.00380250767,3.285366627,0.1368902761,8.95E-07,7.98E-06,2.87E-04,0,0,0
r100,1104,2023-05-31,3.98E-05,0,0,1.46E-04,0.001300212603,1.123383689,0.04680765372,0,0,0,0,0,0
r100,1104,2023-06-28,5.91E-05,6.50E-07,0,2.17E-04,0.001933104989,1.67020271,0.0695917796,2.04E-06,1.82E-05,6.56E-04,0,0,0
r100,1104,2023-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0
r100,1104,2023-07-24,6.74E-05,0,0,2.47E-04,0.002202487196,1.902948938,0.07928953907,0,0,0,0,0,0
r100,1104,2023-08-07,4.99E-05,0,0,1.83E-04,0.001630621054,1.408856591,0.05870235796,0,0,0,0,0,0
r100,1104,2023-08-21,6.15E-05,0,0,2.26E-04,0.002012435526,1.738744295,0.07244767894,0,0,0,0,0,0
r100,1105,2022-09-27,1.82E-05,0,0,6.69E-05,5.97E-04,0.5156209292,0.02148420538,0,0,0,0,0,0
r100,1105,2022-10-11,1.02E-04,0,0,3.76E-04,0.003350198485,2.894571491,0.1206071455,0,0,0,0,0,0
r100,1105,2022-10-27,4.80E-05,0,0,1.76E-04,0.001569598198,1.356132843,0.05650553514,0,0,0,0,0,0
r100,1105,2023-05-16,5.94E-05,0,0,2.18E-04,0.001942574301,1.678384196,0.06993267483,0,0,0,0,0,0
r100,1105,2023-05-31,1.23E-05,0,0,4.51E-05,4.03E-04,0.3477714892,0.01449047872,0,0,0,0,0,0
r100,1105,2023-06-27,6.32E-05,0,0,2.32E-04,0.002065747079,1.784805476,0.07436689483,0,0,0,0,0,0
r100,1105,2023-07-10,4.00E-05,0,0,1.47E-04,0.001306928769,1.129186456,0.04704943569,0,0,0,0,0,0
r100,1105,2023-07-24,7.27E-05,0,0,2.67E-04,0.002377118944,2.053830768,0.08557628198,0,0,0,0,0,0
r100,1105,2023-08-07,5.41E-05,0,0,1.98E-04,0.001770157968,1.529416484,0.06372568684,0,0,0,0,0,0
r100,1105,2023-08-21,6.45E-05,-2.29E-07,0,2.37E-04,0.002110653584,1.823604697,0.07598352902,-7.19E-07,-6.41E-06,-2.31E-04,0,0,0
r100,1106,2022-09-02,1.71E-04,3.16E-07,0,6.28E-04,0.005603671764,4.841572404,0.2017321835,9.94E-07,8.87E-06,3.19E-04,0,0,0
r100,1106,2022-09-08,3.51E-04,2.79E-07,0,0.001287858991,0.01148553181,9.923499484,0.4134791452,8.75E-07,7.81E-06,2.81E-04,0,0,0
r100,1106,2022-09-15,1.27E-04,2.64E-07,0,4.66E-04,0.004157143205,3.591771729,0.1496571554,8.31E-07,7.41E-06,2.67E-04,0,0,0
r100,1106,2022-09-27,6.05E-05,-8.87E-08,-1.50E-07,2.22E-04,0.001979413008,1.710212839,0.07125886829,-2.79E-07,-2.49E-06,-8.95E-05,-2.01E-07,-1.79E-06,-6.44E-05
r100,1106,2022-10-11,7.31E-05,-1.29E-07,0,2.68E-04,0.002390239271,2.06516673,0.08604861376,-4.05E-07,-3.62E-06,-1.30E-04,0,0,0
r100,1106,2022-10-27,0,9.54E-08,0,0,0,0,0,3.00E-07,2.68E-06,9.63E-05,0,0,0
r100,1106,2023-05-16,3.07E-05,-2.35E-07,0,1.13E-04,0.001005518907,0.8687683355,0.03619868065,-7.39E-07,-6.59E-06,-2.37E-04,0,0,0
r100,1106,2023-05-31,5.24E-05,0,0,1.92E-04,0.001712642553,1.479723166,0.06165513192,0,0,0,0,0,0
r100,1106,2023-06-27,1.16E-04,0,0,4.25E-04,0.003789201218,3.273869853,0.1364112439,0,0,0,0,0,0
r100,1106,2023-07-10,5.60E-05,0,0,2.05E-04,0.001830689936,1.581716105,0.06590483769,0,0,0,0,0,0
r100,1106,2023-07-24,5.63E-05,0,0,2.06E-04,0.001841568048,1.591114793,0.06629644972,0,0,0,0,0,0
r100,1106,2023-08-07,7.04E-05,0,0,2.58E-04,0.002301455134,1.988457236,0.08285238484,0,0,0,0,0,0
r100,1106,2023-08-21,5.90E-05,0,0,2.16E-04,0.001929086199,1.666730476,0.06944710316,0,0,0,0,0,0
r100,1107,2022-09-27,5.27E-05,-1.26E-07,0,1.93E-04,0.001723871341,1.489424838,0.06205936827,-3.97E-07,-3.54E-06,-1.27E-04,0,0,0
r100,1107,2022-10-11,9.89E-05,0,0,3.63E-04,0.003232989588,2.793303004,0.1163876252,0,0,0,0,0,0
r100,1107,2022-10-27,4.96E-05,3.35E-07,0,1.82E-04,0.001621866478,1.401292637,0.0583871932,1.05E-06,9.38E-06,3.38E-04,0,0,0
r100,1107,2023-05-16,6.20E-05,2.13E-07,2.25E-07,2.27E-04,0.002026365212,1.750779543,0.07294914762,6.68E-07,5.96E-06,2.15E-04,3.00E-07,2.67E-06,9.63E-05
r100,1107,2023-05-31,7.84E-05,1.49E-07,0,2.87E-04,0.002563987478,2.215285181,0.09230354919,4.68E-07,4.17E-06,1.50E-04,0,0,0
r100,1107,2023-06-27,8.54E-05,1.11E-07,0,3.13E-04,0.002791050645,2.411467757,0.1004778232,3.48E-07,3.10E-06,1.12E-04,0,0,0
r100,1107,2023-07-10,5.14E-05,0,0,1.89E-04,0.001682252963,1.45346656,0.06056110667,0,0,0,0,0,0
r100,1107,2023-07-24,5.29E-05,0,0,1.94E-04,0.001728285846,1.493238971,0.06221829047,0,0,0,0,0,0
r100,1107,2023-08-07,5.94E-05,-1.50E-07,0,2.18E-04,0.001941901866,1.677803212,0.06990846716,-4.71E-07,-4.20E-06,-1.51E-04,0,0,0
r100,1107,2023-08-21,5.14E-05,0,0,1.89E-04,0.001681415654,1.452743125,0.06053096353,0,0,0,0,0,0
r100,1108,2023-05-16,2.95E-05,1.78E-07,0,1.08E-04,9.64E-04,0.8328074796,0.03470031165,5.58E-07,4.98E-06,1.79E-04,0,0,0
r100,1108,2023-05-31,4.63E-05,1.98E-07,0,1.70E-04,0.001515152095,1.30909141,0.05454547541,6.23E-07,5.56E-06,2.00E-04,0,0,0
r100,1108,2023-06-27,6.48E-05,5.10E-07,0,2.38E-04,0.002118491393,1.830376564,0.07626569016,1.60E-06,1.43E-05,5.15E-04,0,0,0
r100,1108,2023-07-10,8.73E-05,9.02E-08,0,3.20E-04,0.002854231975,2.466056426,0.1027523511,2.83E-07,2.53E-06,9.10E-05,0,0,0
r100,1108,2023-07-24,-1.92E-05,0,0,-7.05E-05,-6.29E-04,-0.5434869534,-0.02264528973,0,0,0,0,0,0
r100,1108,2023-08-07,3.24E-05,0,0,1.19E-04,0.001060964256,0.9166731171,0.03819471321,0,0,0,0,0,0
r100,1108,2023-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0
r100,1109,2023-05-16,1.23E-05,0,0,4.52E-05,4.03E-04,0.3479596385,0.01449831827,0,0,0,0,0,0
r100,1109,2023-05-31,6.72E-05,2.13E-07,0,2.46E-04,0.00219668124,1.897932591,0.07908052464,6.69E-07,5.96E-06,2.15E-04,0,0,0
r100,1109,2023-06-27,8.19E-05,4.52E-07,0,3.00E-04,0.002677057364,2.312977563,0.09637406512,1.42E-06,1.27E-05,4.56E-04,0,0,0
r100,1109,2023-07-10,9.99E-05,8.37E-08,0,3.66E-04,0.003266382005,2.822154053,0.1175897522,2.63E-07,2.35E-06,8.44E-05,0,0,0
r100,1109,2023-07-24,7.38E-05,-1.97E-07,0,2.71E-04,0.002413544389,2.085302352,0.086887598,-6.18E-07,-5.51E-06,-1.98E-04,0,0,0
r100,1109,2023-08-07,3.42E-05,-1.35E-07,0,1.25E-04,0.001117868001,0.9658379531,0.04024324804,-4.24E-07,-3.78E-06,-1.36E-04,0,0,0
r100,1109,2023-08-21,4.02E-05,0,0,1.47E-04,0.001313361881,1.134744666,0.04728102773,0,0,0,0,0,0
r100,1110,2022-09-27,1.82E-05,0,0,6.68E-05,5.95E-04,0.5143746039,0.02143227516,0,0,0,0,0,0
r100,1110,2022-10-11,7.71E-05,0,0,2.83E-04,0.002519822615,2.177126739,0.09071361413,0,0,0,0,0,0
r100,1110,2022-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0
r100,1110,2023-05-16,4.50E-05,-1.70E-07,0,1.65E-04,0.001471779641,1.271617609,0.05298406706,-5.36E-07,-4.78E-06,-1.72E-04,0,0,0
r100,1110,2023-05-31,4.45E-05,0,0,1.63E-04,0.001454381368,1.256585502,0.05235772924,0,0,0,0,0,0
r100,1110,2023-06-27,1.02E-04,0,0,3.73E-04,0.00332698936,2.874518807,0.1197716169,0,0,0,0,0,0
r100,1110,2023-07-10,5.60E-05,0,0,2.05E-04,0.001830018049,1.581135594,0.06588064977,0,0,0,0,0,0
r100,1110,2023-07-25,2.14E-04,0,0,7.85E-04,0.006998993128,6.047130063,0.2519637526,0,0,0,0,0,0
r100,1110,2023-08-07,6.56E-05,0,0,2.41E-04,0.00214519051,1.8534446,0.07722685834,0,0,0,0,0,0
r100,1110,2023-08-21,3.31E-05,-1.18E-07,0,1.21E-04,0.00108325924,0.935935983,0.03899733263,-3.69E-07,-3.29E-06,-1.19E-04,0,0,0
r100,1201,2022-09-02,3.04E-05,0,0,1.12E-04,9.95E-04,0.8595275218,0.03581364674,0,0,0,0,0,0
r100,1201,2022-09-08,8.68E-05,0,0,3.18E-04,0.002837161679,2.451307691,0.1021378205,0,0,0,0,0,0
r100,1201,2022-09-15,1.61E-04,0,0,5.91E-04,0.00526818474,4.551711615,0.1896546506,0,0,0,0,0,0
r100,1201,2022-09-27,1.34E-05,-2.96E-07,0,4.93E-05,4.40E-04,0.3798455049,0.01582689604,-9.30E-07,-8.29E-06,-2.98E-04,0,0,0
r100,1201,2022-10-11,6.31E-05,0,0,2.31E-04,0.00206194451,1.781520057,0.07423000238,0,0,0,0,0,0
r100,1201,2022-10-27,2.68E-05,0,0,9.83E-05,8.77E-04,0.7573329084,0.03155553785,0,0,0,0,0,0
r100,1201,2023-05-16,8.08E-05,0,0,2.96E-04,0.002640820985,2.281669331,0.09506955547,0,0,0,0,0,0
r100,1201,2023-05-31,1.90E-04,1.55E-07,0,6.98E-04,0.006228260543,5.381217109,0.2242173795,4.88E-07,4.35E-06,1.57E-04,0,0,0
r100,1201,2023-06-14,1.35E-04,-1.78E-07,0,4.96E-04,0.004423656727,3.822039412,0.1592516422,-5.60E-07,-4.99E-06,-1.80E-04,0,0,0
r100,1201,2023-06-28,8.42E-05,0,0,3.09E-04,0.002754358812,2.379766013,0.09915691723,0,0,0,0,0,0
r100,1201,2023-07-10,6.09E-05,0,0,2.23E-04,0.001989999699,1.71935974,0.07163998918,0,0,0,0,0,0
r100,1201,2023-07-24,5.17E-05,0,0,1.90E-04,0.001692073076,1.461951138,0.06091463073,0,0,0,0,0,0
r100,1201,2023-08-07,2.96E-05,0,0,1.09E-04,9.68E-04,0.8362673991,0.03484447496,0,0,0,0,0,0
r100,1201,2023-08-21,2.19E-05,0,0,8.05E-05,7.18E-04,0.6199934327,0.02583305969,0,0,0,0,0,0
r100,1202,2023-05-16,9.12E-05,-5.53E-08,0,3.34E-04,0.002982911214,2.577235289,0.1073848037,-1.74E-07,-1.55E-06,-5.58E-05,0,0,0
r100,1202,2023-05-31,1.71E-04,9.44E-08,0,6.29E-04,0.005607784664,4.845125949,0.2018802479,2.97E-07,2.65E-06,9.52E-05,0,0,0
r100,1202,2023-06-14,5.49E-05,1.32E-07,0,2.01E-04,0.001793796038,1.549839777,0.06457665738,4.14E-07,3.70E-06,1.33E-04,0,0,0
r100,1202,2023-06-27,8.37E-05,0,0,3.07E-04,0.002737945544,2.36558495,0.09856603959,0,0,0,0,0,0
r100,1202,2023-07-10,7.39E-05,1.78E-07,0,2.71E-04,0.002418066821,2.089209733,0.08705040556,5.58E-07,4.98E-06,1.79E-04,0,0,0
r100,1202,2023-07-24,9.45E-05,1.64E-07,0,3.46E-04,0.003089808031,2.669594138,0.1112330891,5.16E-07,4.60E-06,1.66E-04,0,0,0
r100,1202,2023-08-07,3.37E-05,0,0,1.24E-04,0.001102852766,0.95286479,0.03970269958,0,0,0,0,0,0
r100,1202,2023-08-21,2.64E-05,8.70E-08,0,9.68E-05,8.63E-04,0.7457706114,0.03107377547,2.73E-07,2.44E-06,8.77E-05,0,0,0
r100,1203,2023-05-16,3.16E-05,0,0,1.16E-04,0.001031887917,0.8915511605,0.03714796502,0,0,0,0,0,0
r100,1203,2023-05-31,1.40E-04,2.26E-07,0,5.14E-04,0.004582323658,3.95912764,0.1649636517,7.09E-07,6.32E-06,2.28E-04,0,0,0
r100,1203,2023-06-14,3.10E-05,0,0,1.14E-04,0.001014253133,0.8763147073,0.0365131128,0,0,0,0,0,0
r100,1203,2023-06-27,5.77E-05,-1.86E-07,0,2.12E-04,0.001887364781,1.630683171,0.06794513211,-5.85E-07,-5.22E-06,-1.88E-04,0,0,0
r100,1203,2023-07-10,6.04E-05,0,0,2.21E-04,0.001974312702,1.705806175,0.07107525728,0,0,0,0,0,0
r100,1203,2023-07-24,7.66E-05,1.09E-07,0,2.81E-04,0.002503989789,2.163447178,0.09014363241,3.44E-07,3.06E-06,1.10E-04,0,0,0
r100,1203,2023-08-07,2.47E-05,0,0,9.06E-05,8.08E-04,0.6980073872,0.02908364113,0,0,0,0,0,0
r100,1203,2023-08-21,2.46E-05,-1.23E-07,0,9.01E-05,8.03E-04,0.6939020547,0.02891258561,-3.88E-07,-3.46E-06,-1.25E-04,0,0,0
r100,1204,2023-05-16,5.83E-05,0,0,2.14E-04,0.00190519287,1.64608664,0.06858694331,0,0,0,0,0,0
r100,1204,2023-05-31,9.53E-05,-1.82E-07,0,3.50E-04,0.003117196403,2.693257692,0.1122190705,-5.73E-07,-5.11E-06,-1.84E-04,0,0,0
r100,1204,2023-06-14,5.29E-05,1.89E-07,0,1.94E-04,0.001729755548,1.494508794,0.06227119974,5.95E-07,5.31E-06,1.91E-04,0,0,0
r100,1204,2023-06-27,7.32E-05,0,0,2.68E-04,0.00239276932,2.067352693,0.08613969553,0,0,0,0,0,0
r100,1204,2023-07-10,2.72E-05,-8.66E-08,0,9.97E-05,8.89E-04,0.7679204197,0.03199668415,-2.72E-07,-2.43E-06,-8.74E-05,0,0,0
r100,1204,2023-07-24,6.71E-05,0,0,2.46E-04,0.002194513191,1.896059397,0.07900247488,0,0,0,0,0,0
r100,1204,2023-08-07,2.97E-05,0,0,1.09E-04,9.71E-04,0.8393213145,0.03497172144,0,0,0,0,0,0
r100,1204,2023-08-21,6.04E-05,1.17E-07,0,2.21E-04,0.001974703734,1.706144026,0.07108933443,3.69E-07,3.29E-06,1.18E-04,0,0,0
r100,1205,2022-09-27,1.27E-04,-2.78E-07,0,4.64E-04,0.004137841793,3.575095309,0.1489623045,-8.75E-07,-7.80E-06,-2.81E-04,0,0,0
r100,1205,2022-10-11,8.79E-05,1.45E-07,0,3.22E-04,0.002875941047,2.484813064,0.1035338777,4.56E-07,4.07E-06,1.47E-04,0,0,0
r100,1205,2022-10-27,4.23E-05,2.35E-07,0,1.55E-04,0.001384135179,1.195892794,0.04982886644,7.40E-07,6.60E-06,2.37E-04,0,0,0
r100,1205,2023-05-16,3.29E-05,0,-2.02E-07,1.21E-04,0.001074943507,0.9287511901,0.03869796625,0,0,0,-2.70E-07,-2.41E-06,-8.66E-05
r100,1205,2023-05-31,1.57E-04,-1.71E-07,0,5.77E-04,0.005147787131,4.447688081,0.1853203367,-5.38E-07,-4.80E-06,-1.73E-04,0,0,0
r100,1205,2023-06-14,4.15E-05,-3.58E-07,0,1.52E-04,0.001355879518,1.171479904,0.04881166266,-1.13E-06,-1.00E-05,-3.61E-04,0,0,0
r100,1205,2023-06-27,0,-5.97E-07,0,0,0,0,0,-1.88E-06,-1.67E-05,-6.03E-04,0,0,0
r100,1205,2023-07-10,2.74E-05,0,0,1.00E-04,8.95E-04,0.7733372978,0.03222238741,0,0,0,0,0,0
r100,1205,2023-07-24,6.46E-05,0,0,2.37E-04,0.002111792977,1.824589132,0.07602454718,0,0,0,0,0,0
r100,1205,2023-08-07,4.75E-05,0,0,1.74E-04,0.001552218265,1.341116581,0.05587985755,0,0,0,0,0,0
r100,1205,2023-08-21,3.52E-05,9.00E-08,1.66E-07,1.29E-04,0.001151016437,0.9944782016,0.04143659173,2.83E-07,2.52E-06,9.08E-05,2.22E-07,1.98E-06,7.12E-05
r100,1206,2022-09-27,9.83E-05,-4.55E-07,0,3.60E-04,0.003213333063,2.776319766,0.1156799903,-1.43E-06,-1.28E-05,-4.59E-04,0,0,0
r100,1206,2022-10-11,1.64E-04,1.40E-07,0,6.03E-04,0.005378000542,4.646592468,0.1936080195,4.41E-07,3.93E-06,1.41E-04,0,0,0
r100,1206,2022-10-27,2.93E-05,0,0,1.07E-04,9.59E-04,0.8282531238,0.03451054682,0,0,0,0,0,0
r100,1206,2023-05-16,1.32E-05,-1.36E-07,0,4.83E-05,4.30E-04,0.3718935227,0.01549556345,-4.28E-07,-3.82E-06,-1.37E-04,0,0,0
r100,1206,2023-05-31,1.44E-04,1.81E-07,0,5.26E-04,0.004692582019,4.054390864,0.1689329527,5.68E-07,5.06E-06,1.82E-04,0,0,0
r100,1206,2023-06-14,4.86E-05,0,0,1.78E-04,0.001587919358,1.371962325,0.05716509689,0,0,0,0,0,0
r100,1206,2023-06-27,4.73E-05,1.22E-07,0,1.74E-04,0.001548282222,1.33771584,0.05573816,3.83E-07,3.42E-06,1.23E-04,0,0,0
r100,1206,2023-07-10,2.29E-05,-2.93E-07,0,8.39E-05,7.48E-04,0.6467021663,0.02694592359,-9.22E-07,-8.22E-06,-2.96E-04,0,0,0
r100,1206,2023-07-24,0,-2.26E-07,1.41E-07,0,0,0,0,-7.11E-07,-6.34E-06,-2.28E-04,1.88E-07,1.67E-06,6.02E-05
r100,1206,2023-08-07,4.89E-05,0,0,1.79E-04,0.001599609471,1.382062583,0.05758594096,0,0,0,0,0,0
r100,1207,2023-05-16,4.62E-05,2.47E-07,0,1.69E-04,0.001509893173,1.304547701,0.05435615422,7.77E-07,6.93E-06,2.50E-04,0,0,0
r100,1207,2023-05-31,8.56E-05,-2.50E-07,0,3.14E-04,0.002799590777,2.418846431,0.100785268,-7.86E-07,-7.01E-06,-2.52E-04,0,0,0
r100,1207,2023-06-14,3.51E-05,-1.86E-07,0,1.29E-04,0.001148299719,0.9921309571,0.04133878988,-5.84E-07,-5.21E-06,-1.88E-04,0,0,0
r100,1207,2023-06-27,7.03E-05,0,0,2.58E-04,0.002299052219,1.986381117,0.08276587988,0,0,0,0,0,0
r100,1207,2023-07-10,5.15E-05,-1.70E-07,0,1.89E-04,0.001685280612,1.456082449,0.06067010202,-5.33E-07,-4.75E-06,-1.71E-04,0,0,0
r100,1207,2023-07-25,8.27E-05,2.48E-07,0,3.03E-04,0.002703325007,2.335672806,0.09731970025,7.79E-07,6.95E-06,2.50E-04,0,0,0
r100,1207,2023-08-07,3.97E-05,-1.52E-07,0,1.45E-04,0.00129742504,1.120975235,0.04670730146,-4.77E-07,-4.25E-06,-1.53E-04,0,0,0
r100,1207,2023-08-21,3.71E-05,0,2.16E-07,1.36E-04,0.001213564559,1.048519779,0.04368832412,0,0,0,2.88E-07,2.56E-06,9.23E-05
r100,1208,2022-09-27,4.02E-05,0,0,1.47E-04,0.001313084675,1.134505159,0.04727104831,0,0,0,0,0,0
r100,1208,2022-10-11,5.98E-05,0,-1.43E-07,2.19E-04,0.001954849942,1.68899035,0.07037459791,0,0,0,-1.91E-07,-1.70E-06,-6.13E-05
r100,1208,2022-10-27,2.85E-05,0,0,1.05E-04,9.33E-04,0.8059672924,0.03358197052,0,0,0,0,0,0
r100,1208,2023-05-16,2.07E-05,0,1.78E-07,7.59E-05,6.77E-04,0.585169878,0.02438207825,0,0,0,2.37E-07,2.11E-06,7.60E-05
r100,1208,2023-05-31,1.39E-05,-4.73E-07,0,5.09E-05,4.54E-04,0.392305855,0.01634607729,-1.49E-06,-1.33E-05,-4.78E-04,0,0,0
r100,1208,2023-06-14,7.07E-05,0,0,2.59E-04,0.002312061429,1.997621075,0.08323421146,0,0,0,0,0,0
r100,1208,2023-06-27,1.36E-04,2.26E-07,0,5.00E-04,0.004460340511,3.853734201,0.1605722584,7.10E-07,6.33E-06,2.28E-04,0,0,0
r100,1208,2023-07-10,8.31E-05,-1.01E-07,0,3.05E-04,0.002716571949,2.347118164,0.09779659016,-3.16E-07,-2.82E-06,-1.01E-04,0,0,0
r100,1208,2023-07-24,8.17E-05,-1.28E-07,0,2.99E-04,0.002670837072,2.307603231,0.0961501346,-4.03E-07,-3.60E-06,-1.30E-04,0,0,0
r100,1208,2023-08-07,6.56E-05,0,-1.37E-07,2.41E-04,0.002145211622,1.853462842,0.0772276184,0,0,0,-1.83E-07,-1.63E-06,-5.88E-05
r100,1208,2023-08-21,0,0,2.73E-07,0,0,0,0,0,0,0,3.64E-07,3.24E-06,1.17E-04
r100,1209,2022-09-02,9.75E-05,0,0,3.58E-04,0.003189275135,2.755533717,0.1148139049,0,0,0,0,0,0
r100,1209,2022-09-08,3.39E-04,0,0,0.001242224662,0.0110785505,9.571867635,0.3988278181,0,0,0,0,0,0
r100,1209,2022-09-15,1.21E-04,0,0,4.43E-04,0.003946890417,3.41011332,0.142088055,0,0,0,0,0,0
r100,1209,2022-09-27,3.99E-05,-1.16E-07,0,1.46E-04,0.001304039887,1.126690463,0.04694543594,-3.65E-07,-3.26E-06,-1.17E-04,0,0,0
r100,1209,2022-10-11,8.55E-05,1.67E-07,0,3.13E-04,0.002794726293,2.414643517,0.1006101466,5.25E-07,4.68E-06,1.69E-04,0,0,0
r100,1209,2022-10-27,6.19E-05,-2.96E-07,-1.66E-07,2.27E-04,0.002022882938,1.747770858,0.07282378576,-9.31E-07,-8.31E-06,-2.99E-04,-2.22E-07,-1.98E-06,-7.12E-05
r100,1209,2023-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0
r100,1209,2023-05-31,1.01E-04,-1.41E-07,0,3.71E-04,0.003306854401,2.857122203,0.1190467585,-4.42E-07,-3.94E-06,-1.42E-04,0,0,0
r100,1209,2023-06-14,6.09E-05,-2.09E-07,0,2.23E-04,0.001992574078,1.721584003,0.0717326668,-6.55E-07,-5.84E-06,-2.10E-04,0,0,0
r100,1209,2023-06-28,3.43E-05,0,0,1.26E-04,0.001120459339,0.9680768688,0.0403365362,0,0,0,0,0,0
r100,1209,2023-07-10,5.53E-05,0,2.53E-07,2.03E-04,0.001809879115,1.563735555,0.06515564813,0,0,0,3.38E-07,3.01E-06,1.08E-04
r100,1209,2023-07-25,7.80E-05,0,0,2.86E-04,0.002550259655,2.203424342,0.09180934758,0,0,0,0,0,0
r100,1209,2023-08-07,2.48E-05,0,0,9.10E-05,8.11E-04,0.7009932429,0.02920805179,0,0,0,0,0,0
r100,1209,2023-08-21,-6.74E-05,-5.38E-08,0,-2.47E-04,-0.002205565211,-1.905608342,-0.07940034758,-1.69E-07,-1.51E-06,-5.42E-05,0,0,0
r100,1210,2023-05-16,2.31E-05,0,0,8.45E-05,7.54E-04,0.6512970699,0.02713737791,0,0,0,0,0,0
r100,1210,2023-05-31,9.71E-05,-1.13E-07,0,3.56E-04,0.003176232036,2.744264479,0.1143443533,-3.54E-07,-3.16E-06,-1.14E-04,0,0,0
