experiment,site,year,treatment,plot,treatment name
orei_manure,rosemount,2020,3,414,fertControl_cutFall
orei_manure,rosemount,2021,3,414,fertControl_cutFall
orei_manure,rosemount,2022,3,414,fertControl_cutFall
orei_manure,rosemount,2020,5,114,fertManure_cutFall
orei_manure,rosemount,2021,5,114,fertManure_cutFall
orei_manure,rosemount,2022,5,114,fertManure_cutFall
orei_manure,rosemount,2020,5,211,fertManure_cutFall
orei_manure,rosemount,2021,5,211,fertManure_cutFall
orei_manure,rosemount,2022,5,211,fertManure_cutFall
orei_manure,rosemount,2020,5,311,fertManure_cutFall
orei_manure,rosemount,2021,5,311,fertManure_cutFall
orei_manure,rosemount,2022,5,311,fertManure_cutFall
orei_manure,rosemount,2020,5,412,fertManure_cutFall
orei_manure,rosemount,2021,5,412,fertManure_cutFall
orei_manure,rosemount,2022,5,412,fertManure_cutFall
orei_manure,rosemount,2020,6,104,fertManure_cutNone
orei_manure,rosemount,2021,6,104,fertManure_cutNone
orei_manure,rosemount,2022,6,104,fertManure_cutNone
orei_manure,rosemount,2020,6,201,fertManure_cutNone
orei_manure,rosemount,2021,6,201,fertManure_cutNone
orei_manure,rosemount,2022,6,201,fertManure_cutNone
orei_manure,rosemount,2020,6,301,fertManure_cutNone
orei_manure,rosemount,2021,6,301,fertManure_cutNone
orei_manure,rosemount,2022,6,301,fertManure_cutNone
orei_manure,rosemount,2020,6,402,fertManure_cutNone
orei_manure,rosemount,2021,6,402,fertManure_cutNone
orei_manure,rosemount,2022,6,402,fertManure_cutNone
orei_manure,rosemount,2020,4,102,fertControl_cutNone
orei_manure,rosemount,2020,4,204,fertControl_cutNone
orei_manure,rosemount,2020,4,302,fertControl_cutNone
orei_manure,rosemount,2020,4,404,fertControl_cutNone
orei_manure,rosemount,2021,4,102,fertControl_cutNone
orei_manure,rosemount,2021,4,204,fertControl_cutNone
orei_manure,rosemount,2021,4,302,fertControl_cutNone
orei_manure,rosemount,2021,4,404,fertControl_cutNone
orei_manure,rosemount,2022,4,102,fertControl_cutNone
orei_manure,rosemount,2022,4,204,fertControl_cutNone
orei_manure,rosemount,2022,4,302,fertControl_cutNone
orei_manure,rosemount,2022,4,404,fertControl_cutNone
