site,collection,date,type,name,population,plot,plant height (cm),leaf count,stem circumference (cm),light penetration,node number,distance between node and tassel (cm),stage,height of lowest ear (cm),rowlength,totalplantcount,totalstoverbiomass_wet_g,totalearcount,totalearbiomass_wet_g,subsample_specs,stover_wet_withbag_g,stover_wet_g,stover_bagtare_g,stover_dry_g,stover_Ncontent_percent,grain_wet_g,grain_dry_g,grain_Ncontent_percent,grain_moisturePercent_atharvest,grain_testweight_lbbu_atharvest,grain_moisturePercent_afterdryer,grain_testweight_lbbu_afterdryer,grain_moisturePercent_afterdryerandaspiration,grain_testweight_lbbu_afterdryerandaspiration,notes
st paul,growth monitoring,7/25/2024,short,PR105-20SSC,39000,9,148,7,10,10,12,52,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,conventional,DKC56-65Rib,32000,8,199,9,11,15,14,99,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR106-21SSC,39000,7,153,7,12,8,11,55,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR106-20SSC,39000,6,142,7,12,10,15,85,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR105-20SSC,39000,5,151,7,13,7,15,50,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,conventional,DKC56-65Rib,32000,4,192,8,10.5,15,14,110,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR106-21SSC,39000,3,154,6,11,19,10,65,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR106-20SSC,39000,2,158,6,10.5,8,12,63,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR105-20SSC,39000,1,146,7,11,10,13,46,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,conventional,DKC56-65Rib,32000,12,149,11,9,5,16,195,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR106-21SSC,39000,11,198,11,11,3,17,159,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR106-20SSC,39000,10,209,10,12,2,17,166,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR105-20SSC,39000,9,211,11,10.5,3,18,149,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,conventional,DKC56-65Rib,32000,8,251,10,9.5,5,11,124,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR106-21SSC,39000,7,202,11,11,3,16,170,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR106-20SSC,39000,6,209,11,11.5,3,15,150,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR105-20SSC,39000,5,195,10,12,3,14,132,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,conventional,DKC56-65Rib,32000,4,251,10,10.5,5,15,194,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR106-21SSC,39000,3,196,10,12,4,17,152,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR106-20SSC,39000,2,205,10,13.5,3,15,158,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/6/2024,short,PR105-20SSC,39000,1,205,12,11.5,2,21,163,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,conventional,DKC56-65Rib,32000,12,274,13,10,0,16,215,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR106-21SSC,39000,11,267,13,10,0,14,189,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR106-20SSC,39000,10,287,13,10,0,15,194,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR105-20SSC,39000,9,290,11,7,0,15,191,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,conventional,DKC56-65Rib,32000,8,289,12,8,5,16,210,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR106-21SSC,39000,7,293,14,10,0,15,182,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR106-20SSC,39000,6,285,13,7,5,14,184,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR105-20SSC,39000,5,254,13,11,5,15,175,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,conventional,DKC56-65Rib,32000,4,290,13,9,5,16,211,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR106-21SSC,39000,3,258,12,12,20,14,181,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR106-20SSC,39000,2,254,12,13,5,15,168,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/14/2024,short,PR105-20SSC,39000,1,287,13,7,8,15,182,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,conventional,DKC56-65Rib,32000,12,261,12,,3,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR106-21SSC,39000,11,197,13,,1,,,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR106-20SSC,39000,10,198,11,,1,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR105-20SSC,39000,9,203,13,,1,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,conventional,DKC56-65Rib,32000,8,259,13,,3,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR106-21SSC,39000,7,181,13,,1,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR106-20SSC,39000,6,201,14,,2,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR105-20SSC,39000,5,210,13,,1,,,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,conventional,DKC56-65Rib,32000,4,250,13,,3,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR106-21SSC,39000,3,211,12,,1,,,R1,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR106-20SSC,39000,2,208,12,,1,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/21/2024,short,PR105-20SSC,39000,1,221,14,,2,,,R2,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,conventional,DKC56-65Rib,32000,12,300,13,,0,,,R4,126,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR106-21SSC,39000,11,232,12,,0,,,R5,48,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR106-20SSC,39000,10,246,12,,0,,,R5,92,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR105-20SSC,39000,9,220,12,,0,,,R4,64,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,conventional,DKC56-65Rib,32000,8,285,12,,5,,,R5,130,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR106-21SSC,39000,7,234,11,,0,,,R5,77,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR106-20SSC,39000,6,243,11,,0,,,R4,82,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR105-20SSC,39000,5,235,12,,0,,,R3,75,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,conventional,DKC56-65Rib,32000,4,290,12,,2,,,R4,138,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR106-21SSC,39000,3,245,12,,0,,,R4,80,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR106-20SSC,39000,2,251,11,,2,,,R4,97,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/3/2024,short,PR105-20SSC,39000,1,241,11,,3,,,R2,77,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,conventional,DKC56-65Rib,32000,12,250,13,8,1,,,R4,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR106-21SSC,39000,11,204,13,11,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR106-20SSC,39000,10,201,12,10,0,,,R4,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR105-20SSC,39000,9,207,13,10,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,conventional,DKC56-65Rib,32000,8,250,12,9,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR106-21SSC,39000,7,211,13,10,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR106-20SSC,39000,6,205,13,10,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR105-20SSC,39000,5,230,12,9,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,conventional,DKC56-65Rib,32000,4,259,13,9,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR106-21SSC,39000,3,209,14,10.5,1,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR106-20SSC,39000,2,215,12,8,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/18/2024,short,PR105-20SSC,39000,1,208,12,11,1,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,conventional,DKC56-65Rib,32000,12,251,12,8.5,1,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR106-21SSC,39000,11,210,13,9.5,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR106-20SSC,39000,10,208,11,9,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR105-20SSC,39000,9,221,12,10,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,conventional,DKC56-65Rib,32000,8,258,13,8,0.5,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR106-21SSC,39000,7,201,12,10.5,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR106-20SSC,39000,6,209,12,9,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR105-20SSC,39000,5,211,12,10,1,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,conventional,DKC56-65Rib,32000,4,250,13,9,1,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR106-21SSC,39000,3,204,12,10,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR106-20SSC,39000,2,205,11,9,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/30/2024,short,PR105-20SSC,39000,1,217,13,10,1,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,conventional,DKC56-65Rib,32000,12,255,13,8.5,0.5,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR106-21SSC,39000,11,204,14,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR106-20SSC,39000,10,206,12,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR105-20SSC,39000,9,215,12,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,conventional,DKC56-65Rib,32000,8,260.5,14,9.5,0.5,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR106-21SSC,39000,7,198,14,11,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR106-20SSC,39000,6,203,14,10,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR105-20SSC,39000,5,201,12,9.5,0.5,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,conventional,DKC56-65Rib,32000,4,240,14,9,0.5,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR106-21SSC,39000,3,196,13,11,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR106-20SSC,39000,2,219,13,8.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/9/2024,short,PR105-20SSC,39000,1,197,14,10.5,0,,,R5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,conventional,DKC56-65Rib,32000,12,240,13,9,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR106-21SSC,39000,11,200,14,11,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR106-20SSC,39000,10,217,14,9,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR105-20SSC,39000,9,215,12,9.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,conventional,DKC56-65Rib,32000,8,252,14,9,0.5,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR106-21SSC,39000,7,197,13,10,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR106-20SSC,39000,6,206,12,9,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR105-20SSC,39000,5,199,12,10,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,conventional,DKC56-65Rib,32000,4,263,13,8.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR106-21SSC,39000,3,187,14,9,0.5,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR106-20SSC,39000,2,204,12,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,10/16/2024,short,PR105-20SSC,39000,1,192,13,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,,,,
st paul,harvest,10/18/2024,conventional,DKC56-65Rib,32000,12,,,,,,,,,"2 meters long at 30"" row spacing",12,2950,12,2506,"3 plants for stover analysis, 5 cobs",,691.8,,326.9,1.15,,799,1.33,18.9,56.1,7.3,59.2,7.3,60.4,the ground biomass subsample was actually quite high in water content. Needed to be put back in dryer after grinding out of concern for mold. This may make the moisture content determination null for this plot as it appears it didn't fully dry down. Unclear why this plot dried down more slowly than others. 
st paul,harvest,10/18/2024,short,PR106-21SSC,39000,11,,,,,,,,,"2 meters long at 30"" row spacing",16,4364,15,2680,"3 plants for stover analysis, 5 cobs",,625.8,,337.8,1.12,,627,1.35,20.6,56.5,7.7,59.6,7.5,61.3,
st paul,harvest,10/18/2024,short,PR106-20SSC,39000,10,,,,,,,,,"2 meters long at 30"" row spacing",19,6168,18,3786,"3 plants for stover analysis, 5 cobs",,488,,218.6,1,,631,1.37,24.9,54.2,9.3,59.8,9.2,60.4,
st paul,harvest,10/18/2024,short,PR105-20SSC,39000,9,,,,,,,,,"2 meters long at 30"" row spacing",16,3206,15,3470,"3 plants for stover analysis, 5 cobs",,594.3,,267.7,1.01,,733,1.32,21.7,52.9,7.8,58.8,7.7,59.9,
st paul,harvest,10/18/2024,conventional,DKC56-65Rib,32000,8,,,,,,,,,"2 meters long at 30"" row spacing",12,4770,11,2688,"3 plants for stover analysis, 5 cobs",,733.3,,312.1,1.03,,790,1.38,22.2,55.6,7.2,59.6,7.1,59.9,
st paul,harvest,10/18/2024,short,PR106-21SSC,39000,7,,,,,,,,,"2 meters long at 30"" row spacing",17,5284,15,2300,"3 plants for stover analysis, 5 cobs",,617,,306.9,1.05,,511,1.44,22.1,56.1,7.5,59.1,7.4,60.8,
st paul,harvest,10/18/2024,short,PR106-20SSC,39000,6,,,,,,,,,"2 meters long at 30"" row spacing",18,2958,17,3378,"3 plants for stover analysis, 5 cobs",,498.5,,248,0.84,,703,1.29,17.1,57.3,7.8,59,7.8,60.2,
st paul,harvest,10/18/2024,short,PR105-20SSC,39000,5,,,,,,,,,"2 meters long at 30"" row spacing",18,3066,17,3010,"3 plants for stover analysis, 5 cobs",,400.8,,209.8,0.75,,692,1.31,15.2,57.6,8.9,59.7,8.6,60.4,
st paul,harvest,10/18/2024,conventional,DKC56-65Rib,32000,4,,,,,,,,,"2 meters long at 30"" row spacing",12,1716,10,1856,"3 plants for stover analysis, 5 cobs",,394.9,,202.3,0.97,,818,1.42,15.9,57.4,6.9,58.5,6.9,59.5,
st paul,harvest,10/18/2024,short,PR106-21SSC,39000,3,,,,,,,,,"2 meters long at 30"" row spacing",19,3043,16,2722,"3 plants for stover analysis, 5 cobs",,487.7,,226.3,1.13,,643,1.43,16.7,55.6,7.7,60.1,7.6,61.5,insufficient pollination of ears. A couple other plots had this and it was noticeable. Could be a function of PR106-21SSC
st paul,harvest,10/18/2024,short,PR106-20SSC,39000,2,,,,,,,,,"2 meters long at 30"" row spacing",16,3274,16,3218,"3 plants for stover analysis, 5 cobs",,571.1,,256.8,1.05,,652,1.43,18.5,56.2,7.7,60.2,7.5,61.5,
st paul,harvest,10/18/2024,short,PR105-20SSC,39000,1,,,,,,,,,"2 meters long at 30"" row spacing",19,1648,20,2110,"3 plants for stover analysis, 5 cobs",,157.1,,139.7,0.68,,517,1.47,16.2,55.8,6.5,55.9,6.5,57.3,
st paul,growth monitoring,7/22/2025,,check normal stature,,101,186,12,,15,,,V12,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Pr106-21ssc,,102,187,12,,15,,,V12,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,PR106-20ssc,,103,124,15,,10,,,V15,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Pr105-20ssc,,104,260,12,,10,,,V12,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,206-47vt4prib,,105,232,13,,10,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Dkc101-33rib,,106,248,13,,15,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Dkc098-88rib,,107,250,15,,20,,,V15,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,check normal stature,,201,198,14,,15,,,V14,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Pr106-21ssc,,202,183,13,,20,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,PR106-20ssc,,203,175,13,,10,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Pr105-20ssc,,204,250,11,,10,,,V11,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,206-47vt4prib,,205,234,12,,10,,,V12,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Dkc101-33rib,,206,237,13,,15,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Dkc098-88rib,,207,234,14,,20,,,V14,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,check normal stature,,301,186,13,,15,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Pr106-21ssc,,302,180,13,,15,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,PR106-20ssc,,303,181,12,,10,,,V12,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Pr105-20ssc,,304,253,13,,10,,,V13,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,206-47vt4prib,,305,237,12,,10,,,V12,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Dkc101-33rib,,306,240,12,,15,,,V12,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/22/2025,,Dkc098-88rib,,307,254,11,,20,,,V11,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,check normal stature,,101,280,14,,2,,,R3.5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Pr106-21ssc,,102,247,13,,2,,,R4,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,PR106-20ssc,,103,281,15,,0,,,R4,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Pr105-20ssc,,104,278,13,,0,,,R3.5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,206-47vt4prib,,105,215,12,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Dkc101-33rib,,106,226,11,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Dkc098-88rib,,107,209,12,,2,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,check normal stature,,201,289,16,,1,,,R3.5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Pr106-21ssc,,202,242,13,,0,,,R3.5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,PR106-20ssc,,203,284,15,,0,,,R3.5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Pr105-20ssc,,204,252,13,,1,,,R3.5,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,206-47vt4prib,,205,228,12,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Dkc101-33rib,,206,203,9,,0,,,R4,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Dkc098-88rib,,207,197,11,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,check normal stature,,301,265,15,,2,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Pr106-21ssc,,302,242,16,,1,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,PR106-20ssc,,303,257,14,,1,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Pr105-20ssc,,304,294,16,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,206-47vt4prib,,305,213,12,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Dkc101-33rib,,306,193,13,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,9/8/2025,,Dkc098-88rib,,307,210,12,,0,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,check normal stature,,101,189,10,,3,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Pr106-21ssc,,102,223,10,,3,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,PR106-20ssc,,103,200,11,,1,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Pr105-20ssc,,104,263,13,,2,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,206-47vt4prib,,105,260,14,,1,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Dkc101-33rib,,106,238,12,,2,,,R3,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,8/20/2025,,Dkc098-88rib,,107,255,13,,3,,,R3,,,,,,,,,,,,,,,,,,,,,,
